gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-895.67,-98.841,-289.33,2.028,0.857,0.714
-886.95,-88.293,-281.22,1.977,0.833,0.64
-862.2,-78.78,-269.33,1.951,0.764,0.557
-822.8,-69.939,-252.93,1.916,0.727,0.5
-773.48,-60.793,-235.85,1.883,0.621,0.512
-715.43,-52.5,-219.63,1.848,0.53,0.544
-651.34,-47.805,-202.68,1.863,0.406,0.503
-582.38,-45.793,-184.94,1.821,0.257,0.459
-512.93,-45.488,-167.5,1.704,0.186,0.406
-449.57,-46.829,-153.9,1.603,0.134,0.326
-391.46,-50.061,-142.19,1.509,0.085,0.269
-340.06,-54.451,-128.23,1.39,0.124,0.259
-296.77,-60.976,-114.39,1.308,0.053,0.194
-260.67,-69.512,-99.329,1.243,0.029,0.144
-231.71,-77.439,-82.744,1.115,0.038,0.17
-210.31,-85.854,-70.671,1.045,0.021,0.187
-194.51,-94.085,-61.098,0.99,-0.014,0.176
-180.37,-101.16,-51.402,0.916,0.015,0.174
-169.21,-106.4,-42.622,0.861,0.067,0.147
-160.73,-109.82,-33.293,0.821,0.107,0.126
-148.72,-112.32,-25.488,0.762,0.133,0.14
-135.24,-113.72,-14.817,0.726,0.131,0.131
-125.43,-113.35,-2.5,0.705,0.091,0.105
-116.89,-111.89,7.195,0.655,0.037,0.099
-110.55,-109.51,16.159,0.588,0,0.113
-106.22,-107.13,25.061,0.566,0.036,0.101
-101.95,-103.96,33.415,0.574,0.08,0.059
-102.44,-99.512,40.976,0.597,0.068,0.022
-103.66,-94.573,47.5,0.562,-0.002,0.041
-106.04,-89.085,53.293,0.583,-0.001,0.059
-109.02,-82.439,57.927,0.545,-0.073,0.129
-111.22,-75.305,61.951,0.503,-0.167,0.155
-113.05,-68.476,64.756,0.514,-0.304,0.181
-114.82,-61.707,65.671,0.528,-0.427,0.163
-115.61,-54.512,65.183,0.415,-0.608,0.22
-116.1,-48.11,63.72,0.445,-0.57,0.229
-116.58,-42.195,61.28,0.563,-0.422,0.189
-115.61,-36.707,58.78,0.587,-0.256,0.169
-114.15,-32.195,56.951,0.597,-0.061,0.182
-113.05,-29.329,55,0.576,0.104,0.227
-111.71,-27.073,51.585,0.62,0.249,0.24
-109.15,-25.61,46.402,0.688,0.412,0.271
-105.73,-24.878,40.61,0.708,0.522,0.267
-102.19,-24.329,34.207,0.619,0.426,0.317
-96.646,-23.415,27.5,0.6,0.473,0.339
-90.244,-23.11,20.61,0.633,0.561,0.339
-85.549,-22.622,12.195,0.645,0.607,0.339
-87.744,-22.561,-1.768,0.676,0.701,0.323
-90.427,-24.451,-17.988,0.717,0.692,0.344
-92.073,-27.866,-29.817,0.753,0.648,0.382
-92.744,-29.268,-38.902,0.777,0.596,0.41
-91.829,-28.171,-45.671,0.76,0.537,0.453
-87.866,-26.402,-51.951,0.761,0.476,0.437
-81.646,-24.512,-57.927,0.792,0.421,0.451
-73.354,-21.707,-61.768,0.817,0.359,0.438
-64.146,-18.11,-63.232,0.861,0.322,0.43
-55.671,-14.878,-63.598,0.881,0.296,0.451
-44.756,-12.195,-62.195,0.896,0.251,0.46
-33.598,-11.829,-57.988,0.951,0.261,0.48
-25.244,-11.585,-51.585,0.973,0.272,0.479
-17.744,-10.793,-43.415,0.973,0.297,0.479
-11.89,-10.366,-36.098,0.935,0.323,0.477
-8.415,-9.39,-31.646,0.957,0.384,0.473
